Aleutian Standard Time,America/Adak
Hawaiian Standard Time,Pacific/Honolulu
Marquesas Standard Time,Pacific/Marquesas
Alaskan Standard Time,America/Anchorage
Pacific Standard Time (Mexico),America/Tijuana
Pacific Standard Time,America/Los_Angeles
US Mountain Standard Time,America/Phoenix
Mountain Standard Time (Mexico),America/Chihuahua
Mountain Standard Time,America/Denver
Central America Standard Time,America/Guatemala
Central Standard Time,America/Chicago
Easter Island Standard Time,Pacific/Easter
Central Standard Time (Mexico),America/Mexico City
Canada Central Standard Time,America/Regina
SA Pacific Standard Time,America/Bogota
Eastern Standard Time (Mexico),America/Cancun
Eastern Standard Time,America/New York
Haiti Standard Time,America/Port-au-Prince
Cuba Standard Time,America/Havana
US Eastern Standard Time,America/Indiana/Indianapolis
Turks And Caicos Standard Time,America/Grand Turk
Paraguay Standard Time,America/Asuncion
Atlantic Standard Time,America/Halifax
Venezuela Standard Time,America/Caracas
Central Brazilian Standard Time,America/Cuiaba
SA Western Standard Time,America/La Paz
Pacific SA Standard Time,America/Santiago
Newfoundland Standard Time,America/St Johns
Tocantins Standard Time,America/Araguaina
E. South America Standard Time,America/Sao Paulo
SA Eastern Standard Time,America/Cayenne
Argentina Standard Time,America/Argentina/Buenos Aires
Greenland Standard Time,America/Godthab
Montevideo Standard Time,America/Montevideo
Magallanes Standard Time,America/Punta Arenas
Saint Pierre Standard Time,America/Miquelon
Bahia Standard Time,America/Bahia
Azores Standard Time,Atlantic/Azores
Cape Verde Standard Time,Atlantic/Cape Verde
Morocco Standard Time,Africa/Casablanca
GMT Standard Time,Europe/London
Greenwich Standard Time,Atlantic/Reykjavik
W. Europe Standard Time,Europe/Berlin
Central Europe Standard Time,Europe/Budapest
Romance Standard Time,Europe/Paris
Sao Tome Standard Time,Africa/Sao_Tome
Central European Standard Time,Europe/Warsaw
W. Central Africa Standard Time,Africa/Lagos
Jordan Standard Time,Asia/Amman
GTB Standard Time,Europe/Bucharest
Middle East Standard Time,Asia/Beirut
Egypt Standard Time,Africa/Cairo
E. Europe Standard Time,Europe/Chisinau
Syria Standard Time,Asia/Damascus
West Bank Standard Time,Asia/Hebron
South Africa Standard Time,Africa/Johannesburg
FLE Standard Time,Europe/Kiev
Israel Standard Time,Asia/Jerusalem
Kaliningrad Standard Time,Europe/Kaliningrad
Sudan Standard Time,Africa/Khartoum
Libya Standard Time,Africa/Tripoli
Namibia Standard Time,Africa/Windhoek
Arabic Standard Time,Asia/Baghdad
Turkey Standard Time,Europe/Istanbul
Arab Standard Time,Asia/Riyadh
Belarus Standard Time,Europe/Minsk
Russian Standard Time,Europe/Moscow
E. Africa Standard Time,Africa/Nairobi
Iran Standard Time,Asia/Tehran
Arabian Standard Time,Asia/Dubai
Astrakhan Standard Time,Europe/Astrakhan
Azerbaijan Standard Time,Asia/Baku
Russia Time Zone 3,Europe/Samara
Mauritius Standard Time,Indian/Mauritius
Saratov Standard Time,Europe/Saratov
Georgian Standard Time,Asia/Tbilisi
Caucasus Standard Time,Asia/Yerevan
Afghanistan Standard Time,Asia/Kabul
West Asia Standard Time,Asia/Tashkent
Ekaterinburg Standard Time,Asia/Yekaterinburg
Pakistan Standard Time,Asia/Karachi
India Standard Time,Asia/Kolkata
Sri Lanka Standard Time,Asia/Colombo
Nepal Standard Time,Asia/Kathmandu
Central Asia Standard Time,Asia/Almaty
Bangladesh Standard Time,Asia/Dhaka
Omsk Standard Time,Asia/Omsk
Myanmar Standard Time,Asia/Yangon
SE Asia Standard Time,Asia/Bangkok
Altai Standard Time,Asia/Barnaul
W. Mongolia Standard Time,Asia/Hovd
North Asia Standard Time,Asia/Krasnoyarsk
N. Central Asia Standard Time,Asia/Novosibirsk
